#  cD     cE       density     E/A_snm       E/A_pnm     snm_converge_flag 
-2.00    0.00     0.18    -16.49799476     0.00000000         1
-2.00    0.00     0.20    -16.47440502     0.00000000         1
-1.00    0.00     0.12    -13.82519024     0.00000000         1
-1.00    0.00     0.14    -14.52066346     0.00000000         1
-1.00    0.00     0.16    -14.93719408     0.00000000         1
-1.00    0.00     0.18    -15.04757365     0.00000000         1
-1.00    0.00     0.20    -14.83187600     0.00000000         1
 0.00    0.00     0.12    -13.13027409     0.00000000         1
 0.00    0.00     0.14    -13.79114445     0.00000000         1
 0.00    0.00     0.16    -14.15699257     0.00000000         1
 0.00    0.00     0.18    -14.19790934     0.00000000         1
 0.00    0.00     0.20    -13.89350387     0.00000000         1
 1.00    0.00     0.12    -12.70680600     0.00000000         1
 1.00    0.00     0.14    -13.38623031     0.00000000         1
 1.00    0.00     0.16    -13.76088495     0.00000000         1
 1.00    0.00     0.18    -13.80132153     0.00000000         1
 1.00    0.00     0.20    -13.48950951     0.00000000         1
 2.00    0.00     0.12    -12.49615170     0.00000000         1
 2.00    0.00     0.14    -13.23390315     0.00000000         1
 2.00    0.00     0.16    -13.66537115     0.00000000         1
 2.00    0.00     0.18    -13.76492616     0.00000000         1
 2.00    0.00     0.20    -13.52029064     0.00000000         1
 3.00    0.00     0.12    -12.45502631     0.00000000         1
 3.00    0.00     0.14    -13.28410941     0.00000000         1
 3.00    0.00     0.16    -13.81550484     0.00000000         1
 3.00    0.00     0.18    -14.03094957     0.00000000         1
 3.00    0.00     0.20    -13.92813400     0.00000000         1
-3.00    0.25     0.12    -18.55579444     0.00000000         1
-3.00    0.25     0.14    -19.99560126     0.00000000         1
-3.00    0.25     0.16    -21.27978349     0.00000000         1
-3.00    0.25     0.18    -22.41502991     0.00000000         1
-3.00    0.25     0.20    -23.41422838     0.00000000         1
-2.00    0.25     0.12    -16.57318762     0.00000000         1
-2.00    0.25     0.14    -17.64378539     0.00000000         1
-2.00    0.25     0.16    -18.49586809     0.00000000         1
-2.00    0.25     0.18    -19.11316410     0.00000000         1
-2.00    0.25     0.20    -19.48130920     0.00000000         1
-1.00    0.25     0.12    -15.13790343     0.00000000         1
-1.00    0.25     0.14    -16.00669578     0.00000000         1
-1.00    0.25     0.16    -16.62769203     0.00000000         1
-1.00    0.25     0.18    -16.97653686     0.00000000         1
-1.00    0.25     0.20    -17.03344690     0.00000000         1
 0.00    0.25     0.12    -14.14101873     0.00000000         1
 0.00    0.25     0.14    -14.92028453     0.00000000         1
 0.00    0.25     0.16    -15.43347176     0.00000000         1
 0.00    0.25     0.18    -15.65126423     0.00000000         1
 0.00    0.25     0.20    -15.55154969     0.00000000         1
 1.00    0.25     0.12    -13.48817470     0.00000000         1
 1.00    0.25     0.14    -14.25221515     0.00000000         1
 1.00    0.25     0.16    -14.73753820     0.00000000         1
 1.00    0.25     0.18    -14.91279424     0.00000000         1
 1.00    0.25     0.20    -14.75622367     0.00000000         1
 2.00    0.25     0.12    -13.10345859     0.00000000         1
 2.00    0.25     0.14    -13.90344703     0.00000000         1
 2.00    0.25     0.16    -14.41846035     0.00000000         1
 2.00    0.25     0.18    -14.61860143     0.00000000         1
 2.00    0.25     0.20    -14.48566041     0.00000000         1
 3.00    0.25     0.12    -12.92897791     0.00000000         1
 3.00    0.25     0.14    -13.80338441     0.00000000         1
 3.00    0.25     0.16    -14.39503548     0.00000000         1
 3.00    0.25     0.18    -14.67914835     0.00000000         1
 3.00    0.25     0.20    -14.64480332     0.00000000         1
-3.00    0.50     0.12    -21.33375768     0.00000000         1
-3.00    0.50     0.14    -23.36087559     0.00000000         1
-3.00    0.50     0.16    -25.37074398     0.00000000         1
-3.00    0.50     0.18    -27.46246230     0.00000000         1
-3.00    0.50     0.20    -29.83761416     0.00000000         1
-2.00    0.50     0.12    -18.74997736     0.00000000         1
-2.00    0.50     0.14    -20.20511468     0.00000000         1
-2.00    0.50     0.16    -21.49919546     0.00000000         1
-2.00    0.50     0.18    -22.63034713     0.00000000         1
-2.00    0.50     0.20    -23.59863100     0.00000000         1
-1.00    0.50     0.12    -16.82354600     0.00000000         1
-1.00    0.50     0.14    -17.94026164     0.00000000         1
-1.00    0.50     0.16    -18.84304018     0.00000000         1
-1.00    0.50     0.18    -19.51228200     0.00000000         1
-1.00    0.50     0.20    -19.92982113     0.00000000         1
 0.00    0.50     0.12    -15.43931085     0.00000000         1
 0.00    0.50     0.14    -16.38039248     0.00000000         1
 0.00    0.50     0.16    -17.08397300     0.00000000         1
 0.00    0.50     0.18    -17.52327037     0.00000000         1
 0.00    0.50     0.20    -17.67581127     0.00000000         1
 1.00    0.50     0.12    -14.48851813     0.00000000         1
 1.00    0.50     0.14    -15.36223137     0.00000000         1
 1.00    0.50     0.16    -15.98414980     0.00000000         1
 1.00    0.50     0.18    -16.32298921     0.00000000         1
 1.00    0.50     0.20    -16.35461770     0.00000000         1
 2.00    0.50     0.12    -13.87746329     0.00000000         1
 2.00    0.50     0.14    -14.75513147     0.00000000         1
 2.00    0.50     0.16    -15.37188125     0.00000000         1
 2.00    0.50     0.18    -15.69517061     0.00000000         1
 2.00    0.50     0.20    -15.70213659     0.00000000         1
 3.00    0.50     0.12    -13.53107549     0.00000000         1
 3.00    0.50     0.14    -14.46185554     0.00000000         1
 3.00    0.50     0.16    -15.12903035     0.00000000         1
 3.00    0.50     0.18    -15.50260155     0.00000000         1
 3.00    0.50     0.20    -15.56452992     0.00000000         1
-3.00    0.75     0.12    -24.78153056     0.00000000         1
-3.00    0.75     0.14    -27.64917689     0.00000000         1
-3.00    0.75     0.16    -30.85915172     0.00000000         1
-3.00    0.75     0.18    -35.13287730     0.00000000         1
-3.00    0.75     0.20    -46.36891349     0.00000000         1
-2.00    0.75     0.12    -21.49629897     0.00000000         1
-2.00    0.75     0.14    -23.51233009     0.00000000         1
-2.00    0.75     0.16    -25.48677935     0.00000000         1
-2.00    0.75     0.18    -27.48492359     0.00000000         1
-2.00    0.75     0.20    -29.62500998     0.00000000         1
-1.00    0.75     0.12    -18.97454862     0.00000000         1
-1.00    0.75     0.14    -20.45498094     0.00000000         1
-1.00    0.75     0.16    -21.77037595     0.00000000         1
-1.00    0.75     0.18    -22.91162476     0.00000000         1
-1.00    0.75     0.20    -23.86894245     0.00000000         1
 0.00    0.75     0.12    -17.10497554     0.00000000         1
 0.00    0.75     0.14    -18.27832988     0.00000000         1
 0.00    0.75     0.16    -19.24377477     0.00000000         1
 0.00    0.75     0.18    -19.97865882     0.00000000         1
 0.00    0.75     0.20    -20.46142871     0.00000000         1
 1.00    0.75     0.12    -15.77202413     0.00000000         1
 1.00    0.75     0.14    -16.79598578     0.00000000         1
 1.00    0.75     0.16    -17.59413851     0.00000000         1
 1.00    0.75     0.18    -18.13736800     0.00000000         1
 1.00    0.75     0.20    -18.40069249     0.00000000         1
 2.00    0.75     0.12    -14.86722308     0.00000000         1
 2.00    0.75     0.14    -15.84580659     0.00000000         1
 2.00    0.75     0.16    -16.58828976     0.00000000         1
 2.00    0.75     0.18    -17.06159247     0.00000000         1
 2.00    0.75     0.20    -17.23976601     0.00000000         1
 3.00    0.75     0.12    -14.29762474     0.00000000         1
 3.00    0.75     0.14    -15.29910603     0.00000000         1
 3.00    0.75     0.16    -16.05892405     0.00000000         1
 3.00    0.75     0.18    -16.54361332     0.00000000         1
 3.00    0.75     0.20    -16.72951733     0.00000000         1
-3.00    1.00     0.12    -28.98055050     0.00000000         1
-3.00    1.00     0.14    -33.05171318     0.00000000         1
-3.00    1.00     0.16    -38.72169817     0.00000000         1
-3.00    1.00     0.18    -49.26169841     0.00000000         1
-3.00    1.00     0.20    -48.47929201     0.00000000         1
-2.00    1.00     0.12    -24.90529364     0.00000000         1
-2.00    1.00     0.14    -27.72785533     0.00000000         1
-2.00    1.00     0.16    -30.81837611     0.00000000         1
-2.00    1.00     0.18    -34.67888059     0.00000000         1
-2.00    1.00     0.20    -41.44895222     0.00000000         1
-1.00    1.00     0.12    -21.68788112     0.00000000         1
-1.00    1.00     0.14    -23.70175284     0.00000000         1
-1.00    1.00     0.16    -25.65160614     0.00000000         1
-1.00    1.00     0.18    -27.57531757     0.00000000         1
-1.00    1.00     0.20    -29.53393839     0.00000000         1
 0.00    1.00     0.12    -19.22925249     0.00000000         1
 0.00    1.00     0.14    -20.74506925     0.00000000         1
 0.00    1.00     0.16    -22.09359090     0.00000000         1
 0.00    1.00     0.18    -23.25975265     0.00000000         1
 0.00    1.00     0.20    -24.22641718     0.00000000         1
 1.00    1.00     0.12    -17.41713521     0.00000000         1
 1.00    1.00     0.14    -18.65760449     0.00000000         1
 1.00    1.00     0.16    -19.69771691     0.00000000         1
 1.00    1.00     0.18    -20.51205004     0.00000000         1
 1.00    1.00     0.20    -21.07602223     0.00000000         1
 2.00    1.00     0.12    -16.13562188     0.00000000         1
 2.00    1.00     0.14    -17.25288861     0.00000000         1
 2.00    1.00     0.16    -18.15744094     0.00000000         1
 2.00    1.00     0.18    -18.81797890     0.00000000         1
 2.00    1.00     0.20    -19.20718110     0.00000000         1
 3.00    1.00     0.12    -15.27663908     0.00000000         1
 3.00    1.00     0.14    -16.37029183     0.00000000         1
 3.00    1.00     0.16    -17.24490349     0.00000000         1
 3.00    1.00     0.18    -17.86582471     0.00000000         1
 3.00    1.00     0.20    -18.20551250     0.00000000         1
