#  cD     cE       density     E/A_snm       E/A_pnm 
 3.00    0.00     0.19    -15.41255640     16.14494972 
 3.00    0.00     0.21    -15.54264860     18.47499715 
 3.00    0.00     0.23    -15.40298530     21.02020182 
-3.00    0.25     0.15    -20.98626140     12.23089759 
-3.00    0.25     0.17    -22.34295318     14.05818985 
-3.00    0.25     0.19    -23.58528486     16.14494972 
-3.00    0.25     0.21    -24.72395543     18.47499715 
-3.00    0.25     0.23    -25.78937491     21.02020183 
-2.50    0.25     0.15    -19.70123792     12.23089759 
-2.50    0.25     0.17    -20.79980003     14.05818985 
-2.50    0.25     0.19    -21.72180275     16.14494972 
-2.50    0.25     0.21    -22.45764848     18.47499715 
-2.50    0.25     0.23    -23.00602618     21.02020183 
-2.00    0.25     0.15    -18.61270117     12.23089759 
-2.00    0.25     0.17    -19.52021112     14.05818985 
-2.00    0.25     0.19    -20.21498156     16.14494972 
-2.00    0.25     0.21    -20.68128009     18.47499715 
-2.00    0.25     0.23    -20.91047577     21.02020183 
-1.50    0.25     0.15    -17.69957772     12.23089759 
-1.50    0.25     0.17    -18.46772313     14.05818985 
-1.50    0.25     0.19    -18.99948351     16.14494972 
-1.50    0.25     0.21    -19.27665228     18.47499715 
-1.50    0.25     0.23    -19.28849816     21.02020183 
-1.00    0.25     0.15    -16.94205217     12.23089759 
-1.00    0.25     0.17    -17.61135658     14.05818985 
-1.00    0.25     0.19    -18.02704516     16.14494972 
-1.00    0.25     0.21    -18.16937814     18.47499715 
-1.00    0.25     0.23    -18.02681954     21.02020183 
-0.50    0.25     0.15    -16.32210130     12.23089759 
-0.50    0.25     0.17    -16.92499391     14.05818985 
-0.50    0.25     0.19    -17.26076192     16.14494972 
-0.50    0.25     0.21    -17.30855156     18.47499715 
-0.50    0.25     0.23    -17.05648267     21.02020183 
 0.00    0.25     0.15    -15.82382971     12.23089759 
 0.00    0.25     0.17    -16.38697895     14.05818985 
 0.00    0.25     0.19    -16.67217833     16.14494971 
 0.00    0.25     0.21    -16.65784109     18.47499715 
 0.00    0.25     0.23    -16.33225126     21.02020183 
 0.50    0.25     0.15    -15.43357837     12.23089759 
 0.50    0.25     0.17    -15.97965320     14.05818985 
 0.50    0.25     0.19    -16.23938341     16.14494971 
 0.50    0.25     0.21    -16.19096509     18.47499715 
 0.50    0.25     0.23    -15.82345352     21.02020182 
 1.00    0.25     0.15    -15.13985399     12.23089759 
 1.00    0.25     0.17    -15.68881907     14.05818984 
 1.00    0.25     0.19    -15.94557632     16.14494971 
 1.00    0.25     0.21    -15.88874359     18.47499715 
 1.00    0.25     0.23    -15.50891284     21.02020182 
 1.50    0.25     0.15    -14.93313268     12.23089759 
 1.50    0.25     0.17    -15.50318466     14.05818984 
 1.50    0.25     0.19    -15.77793728     16.14494971 
 1.50    0.25     0.21    -15.73719294     18.47499715 
 1.50    0.25     0.23    -15.37402427     21.02020182 
 2.00    0.25     0.15    -14.80561849     12.23089758 
 2.00    0.25     0.17    -15.41384377     14.05818984 
 2.00    0.25     0.19    -15.72674809     16.14494971 
